	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
0	3.2	FSC 0.143 CUT-OFF	2018-05-26	30135578	doi:10.1038/s41586-018-0440-4	Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P		1.257MDa	singleParticle		7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	40.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	360	-0.01939306	0.056912333	0.00018200457	0.002079925
0	3.28	FSC 0.143 CUT-OFF	2018-05-26	30135578	doi:10.1038/s41586-018-0440-4	Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P		1.257MDa	singleParticle		7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	40.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	360	-0.017943025	0.05230304	0.00016350884	0.0021406827
0	3.49	FSC 0.143 CUT-OFF	2018-05-26	30135578	doi:10.1038/s41586-018-0440-4	Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P		1.257MDa	singleParticle		7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	40.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	360	-0.018059991	0.04983049	0.00019315117	0.0020271286
0	3.1	FSC 0.143 CUT-OFF	2018-05-26	30135578	doi:10.1038/s41586-018-0440-4	Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P		1.257MDa	singleParticle		7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	40.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	360	-0.019865137	0.059740696	0.0001798398	0.0020949878
0	3.34	FSC 0.143 CUT-OFF	2018-05-26	30135578	doi:10.1038/s41586-018-0440-4	Vos SM, Farnung L, Boehning M, Linden A, Wigge C, Urlaub H, Cramer P		1.257MDa	singleParticle		7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	40.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 SUMMIT (4k x 4k)	FEI TITAN KRIOS	300	C1	360	-0.018458545	0.053401053	0.0001379251	0.0021176182
0	3.2	FSC 0.143 CUT-OFF	2018-05-27	30135580	doi:10.1038/s41586-018-0442-2	Vos SM, Farnung L, Urlaub H, Cramer P	6gml	.9271MDa, 0.217450078MDa, 0.134041422MDa, 0.030997557MDa, 0.024644318MDa, 0.014477001MDa, 0.017162273MDa, 0.014541221MDa, 0.007655123MDa, 0.013310284MDa, 0.007018244MDa, 0.014712466MDa, 0.014746812MDa, 0.014910556MDa, 0.057343598MDa, 0.06457723MDa, 0.064651746MDa, 0.045363449MDa, 0.013508496MDa, 0.121145477MDa, 0.016331255MDa, 0.019314283MDa, 2.4305e-05MDa, 6.5409e-05MDa	singleParticle	0.2	7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	46.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 QUANTUM (4k x 4k)	FEI TITAN KRIOS	300	C1	256	-0.016329648	0.042056307	0.000112259506	0.0017798187
0	3.4	FSC 0.143 CUT-OFF	2018-05-27	30135580	doi:10.1038/s41586-018-0442-2	Vos SM, Farnung L, Urlaub H, Cramer P		.9271MDa	singleParticle	0.2	7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	46.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 QUANTUM (4k x 4k)	FEI TITAN KRIOS	300	C1	256	-0.016329648	0.042056307	0.000112259506	0.0017798187
0	3.4	FSC 0.143 CUT-OFF	2018-05-27	30135580	doi:10.1038/s41586-018-0442-2	Vos SM, Farnung L, Urlaub H, Cramer P		.9271MDa	singleParticle	0.2	7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	46.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 QUANTUM (4k x 4k)	FEI TITAN KRIOS	300	C1	256	-0.024119103	0.10176039	0.00069555914	0.0065150736
0	3.9	FSC 0.143 CUT-OFF	2018-05-27	30135580	doi:10.1038/s41586-018-0442-2	Vos SM, Farnung L, Urlaub H, Cramer P		.9271MDa	singleParticle	0.2	7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	46.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 QUANTUM (4k x 4k)	FEI TITAN KRIOS	300	C1	256	-0.008213097	0.023484569	0.000117879674	0.0014477392
0	3.3	FSC 0.143 CUT-OFF	2018-05-27	30135580	doi:10.1038/s41586-018-0442-2	Vos SM, Farnung L, Urlaub H, Cramer P		.9271MDa	singleParticle	0.2	7.4	ETHANE	100	277	FEI VITROBOT MARK IV	FIELD EMISSION GUN	46.0	BRIGHT FIELD	SPOT SCAN	GATAN K2 QUANTUM (4k x 4k)	FEI TITAN KRIOS	300	C1	256	-0.015312094	0.043722264	0.000106408545	0.0017141318
